facility_id,facility_name,facility_capacity
2656,UPO @ Eagle Academy Public Charter School,56
1997,UPO @ Edgewood Child Development Center,32
2043,UPO @ Frederick Douglass,55
2158,UPO @ H. D. Woodson High School,11
2701,UPO @ Ketcham Elementary School,32
2045,UPO @ Luke C. Moore Academy,8
2824,UPO @ Malcolm X  Elementary School,16
2700,UPO @ Marie Reed Elementary School,16
2221,UPO @ Paradise Early Childhood Center,20
2551,UPO @ Roosevelt High School,16
2731,US Kids Child Development Center,66
2215,USDA Child Development Center ,80
2010,Vee's Early Education Center,21
2680,Wanda Yvette Thomas Smith,9
2871,Washington Academy Preschool ,9
1793,Washington Hebrew Congregation,130
2679,Washington Yu Ying,8
1736,Wibble Wobble Child Development Center,35
2762,Winifred  Thomas ,9
2793,Winters Wonderland  Early Child Care,9
2684,Wonders Extended Day at Horace Mann,76
2689,Wonders Extended Day at Milton,46
1986,Woodbridge Day Care Center III,27
2085,Woodbridge Day Care Center IV,27
2752,Woodbridge Day Care Center V,38
1863,World Bank Children's Center ,68
2562,YMCA @ Goodwill Excel Center ,30
2195,YMCA @ KIPP DC  Benning Road,99
2759,YMCA @ Meridian Public School,100
2809,YMCA at Diplotots Too,76
1798,YMCA Calomiris Center ,75
2003,YMCA Calomiris II,44
2288,Yvonne Stewart Delancey,6
2772,Zecketia Coleman/Little Emotions ,6
